Profesor	Id. Asignatura	Horas	Resp	Asignatura
Anonimizado 60				
Anonimizado 60				
Anonimizado 60				
Anonimizado 60				
Anonimizado 60				
Anonimizado 60				
Anonimizado 60				
Anonimizado 60				
Anonimizado 60				
Anonimizado 61	196	60	1	Estadística
Anonimizado 61	177	60	1	Estadística
Anonimizado 61	292	60	1	Probabilidad
Anonimizado 61	9	60	1	Estadística
Anonimizado 61				
Anonimizado 61				
Anonimizado 61				
Anonimizado 61				
Anonimizado 61				
Anonimizado 61				
Anonimizado 61				
Anonimizado 61				
Anonimizado 62	298	30	1	Geometría Computacional
Anonimizado 62	227	60	1	Matemática Discreta
Anonimizado 62	313	36		Trabajo Fin de Grado
Anonimizado 62				
Anonimizado 62				
Anonimizado 62				
Anonimizado 62				
Anonimizado 62				
Anonimizado 62				
Anonimizado 62				
Anonimizado 62				
Anonimizado 62				
Anonimizado 63	53	60	1	Diseño y Análisis de Algoritmos
Anonimizado 63	259	30	1	Introducción a la Programación
Anonimizado 63	121	60	1	Diseño y Análisis de Algoritmos
Anonimizado 63	313	20		Trabajo Fin de Grado
Anonimizado 63	151			Diseño y Análisis de Algoritmos
Anonimizado 63				
Anonimizado 63				
Anonimizado 63				
Anonimizado 63				
Anonimizado 63				
Anonimizado 63				
Anonimizado 63				
Anonimizado 64	105	60	1	Multimedia
Anonimizado 64	313	70	1	Trabajo Fin de Grado
Anonimizado 64	39	60	1	Laboratorio de Dispositivos Móviles
Anonimizado 64	4	50	1	Informática y Competencia Digital Docente
Anonimizado 64				
Anonimizado 64				
Anonimizado 64				
Anonimizado 64				
Anonimizado 64				
Anonimizado 64				
Anonimizado 64				
Anonimizado 64				
Anonimizado 65	126	60	1	Programación Orientada a Objetos
Anonimizado 65	132	60	1	Interacción Persona-Ordenador
Anonimizado 65				
Anonimizado 65				
Anonimizado 65				
Anonimizado 65				
Anonimizado 65				
Anonimizado 65				
Anonimizado 65				
Anonimizado 65				
Anonimizado 65				
Anonimizado 65				
Anonimizado 66				
Anonimizado 66	73	60	1	Informática Gráfica
Anonimizado 66	140	60	1	Informática Gráfica
Anonimizado 66				
Anonimizado 66	146	0	1	Fundamentos de Computadores
Anonimizado 66	170	0	1	Informática Gráfica
Anonimizado 66				
Anonimizado 66				
Anonimizado 66				
Anonimizado 66				
Anonimizado 66				
Anonimizado 66				
Anonimizado 67	22	20		Métodos Operativos y Estadísticos de Gestión
Anonimizado 67	56	20		Métodos Operativos y Estadísticos de Gestión
Anonimizado 67	91	20		Métodos Operativos y Estadísticos de Gestión
Anonimizado 67	235	15		Estadística
Anonimizado 67	180	10		Informática y Competencia Digital Docente
Anonimizado 67	175	20		Informática y Competencia Digital Docente
Anonimizado 67	313	3		Trabajo Fin de Grado
Anonimizado 67				
Anonimizado 67				
Anonimizado 67				
Anonimizado 67				
Anonimizado 67				
Anonimizado 68	37	20		Sistemas Inteligentes
Anonimizado 68	203	30		Desarrollo de Juegos con Inteligencia Artificial
Anonimizado 68	242	10		Desarrollo de Juegos con Inteligencia Artificial
Anonimizado 68	274	30		Inteligencia Artificial
Anonimizado 68	265	30		Métodos Operativos y Estadísticos de Gestión
Anonimizado 68				
Anonimizado 68				
Anonimizado 68				
Anonimizado 68				
Anonimizado 68				
Anonimizado 68				
Anonimizado 68				
Anonimizado 69	225	60		Estructuras de Datos
Anonimizado 69	240	20		Algoritmos para Juegos
Anonimizado 69				
Anonimizado 69				
Anonimizado 69				
Anonimizado 69				
Anonimizado 69				
Anonimizado 69				
Anonimizado 69				
Anonimizado 69				
Anonimizado 69				
Anonimizado 69				
Anonimizado 70				
Anonimizado 70	43	20		Estadística
Anonimizado 70	76	20		Estadística
Anonimizado 70	9	20		Estadística
Anonimizado 70	112	60	1	Estadística
Anonimizado 70	289	40	1	Estadística
Anonimizado 70	196	20		Estadística
Anonimizado 70				
Anonimizado 70				
Anonimizado 70				
Anonimizado 70				
Anonimizado 70				
Anonimizado 71	26	60	1	Redes de Computadores
Anonimizado 71	93	60	1	Redes de Computadores
Anonimizado 71				
Anonimizado 71	62	60		Estructuras de Datos Avanzadas
Anonimizado 71	60	40		Teoría de Autómatas y Lenguajes Formales
